"Bundsgård Privat Pasningsordning – INFO","",""
"Dette er en kopi af regnearket, som følger med hjemmesiden. Den bruges, indtil den rigtige udgave er hentet — og hvis nettet svigter. Kør ""npm run sync:sheet"" for at hente den nyeste udgave ind.","",""
"# Åbningstider","Tidsrum",""
"Mandag – torsdag","5.30 – 15.30",""
"Fredag","5:30 – 15.00",""
"Weekend","Lukket","Dæmpet"
"Fodnote","Har I brug for at aflevere tidligere en enkelt dag, finder vi ud af det.",""
"# Stempel","Tekst",""
"Tekst","Ledige pladser",""
"Måned og år","oktober 2026",""
"# Ferie og lukkedage","Hvad",""
"Uge 1, 2, og 3","Sommerferie",""
"Uge 123","Efterårsferie",""
"23. dec – 1. jan","Jul og nytår",""
"5 dage","Efter aftale",""
"Fodnote","Datoerne meldes ud i god tid ved årets start.",""
"Tom tekst","Årets lukkedage er ikke meldt ud endnu.",""
"# Pris og tilskud","Hvad",""
"Intro","Egedal Kommune giver tilskud til en privat pasningsordning. Tilskuddet søges hos kommunen, og I betaler forskellen direkte til mig.",""
"Fuldtidsplads, 0-3 år","100000 kr.",""
"Mad og bleer","Inkluderet",""
"# Godt at vide","Tekst",""
"Indkøring","Vi bruger som regel en uge. Første dag er kort og med jer, og så udvider vi stille og roligt. I bestemmer tempoet sammen med mig.",""
"Mad","Jeg laver morgenmad, frokost og eftermiddagsmad. Almindelig hjemmelavet mad, meget grønt, og vi tager hensyn til allergier.",""
"Sygdom","Et sygt barn skal være hjemme — både for sin egen skyld og for de andres. Bliver jeg selv syg, har jeg en fast aftale om afløsning, som I møder på forhånd.",""
"Opsigelse","To måneder til den 1. Vi skriver en almindelig pasningsaftale, som kommunen skal godkende.",""
"# Spørgsmål og svar","Svar",""
"Hvordan søger vi tilskud?","I søger tilskuddet hos Egedal Kommune, når vi har skrevet en pasningsaftale. Jeg hjælper gerne med papirerne — det er ikke så indviklet, som det lyder.",""
"Hvad sker der, hvis du bliver syg?","Jeg har en fast aftale med en afløser, som børnene kender i forvejen. Ved længere sygdom kontakter jeg jer med det samme, så I kan nå at planlægge.",""
"Kan vi komme forbi, før vi beslutter os?","Ja, og det vil jeg helst. Kom en formiddag, hvor børnene er her, gerne med jeres eget barn. Så kan I mærke stemningen i stedet for at læse om den.",""
"Hvad skal vi selv have med?","Skiftetøj, overtøj efter årstiden og en sut eller en bamse, hvis der er en. Mad og bleer er med i prisen.",""
"Hvad når barnet skal i børnehave?","Vi taler om det i god tid, og jeg skriver gerne et par ord om, hvor barnet er nået til. Vi besøger børnehaven sammen, hvis det kan lade sig gøre.",""
